Date,Product,Category,Quantity,Price,Region
2026-01-05,Laptop,Electronics,2,55000,West
2026-01-08,Headphones,Electronics,5,2500,North
2026-01-12,Smartphone,Electronics,3,28000,South
2026-01-15,T-Shirt,Fashion,10,800,West
2026-01-20,Shoes,Fashion,4,2500,North
2026-02-02,Laptop,Electronics,1,55000,South
2026-02-07,Headphones,Electronics,8,2500,East
2026-02-14,Jeans,Fashion,6,1800,West
2026-02-18,Smartphone,Electronics,2,28000,North
2026-03-03,Shoes,Fashion,7,2500,South
2026-03-10,Laptop,Electronics,3,55000,East
2026-03-15,T-Shirt,Fashion,12,800,North
